ID,Walk,Species, Latitude, Longitude,Date, Time
1,1,human,51.436489,-1.335357,22/07/2017, 11:39:31
1,1,human,51.436512,-1.335363,22/07/2017, 11:40:22
1,1,human,51.436333,-1.33536,22/07/2017, 11:41:14
1,1,human,51.436245,-1.335346,22/07/2017, 11:41:54
1,1,human,51.436264,-1.335416,22/07/2017, 11:42:43
1,1,human,51.436157,-1.335203,22/07/2017, 11:43:12
1,1,human,51.436462,-1.335261,22/07/2017, 11:43:40
1,1,human,51.436386,-1.335434,22/07/2017, 11:44:09
1,1,human,51.436337,-1.33508,22/07/2017, 11:44:44
1,1,human,51.436378,-1.335198,22/07/2017, 11:45:13
1,1,human,51.436222,-1.335114,22/07/2017, 11:45:35
1,1,human,51.436325,-1.335823,22/07/2017, 11:48:06
1,1,human,51.436623,-1.336442,22/07/2017, 11:48:49
1,1,human,51.43663,-1.336855,22/07/2017, 11:49:31
1,1,human,51.436451,-1.337353,22/07/2017, 11:50:18
1,1,human,51.436176,-1.338197,22/07/2017, 11:51:07
1,1,human,51.435993,-1.339096,22/07/2017, 11:51:56
1,1,human,51.435753,-1.339623,22/07/2017, 11:52:33
1,1,human,51.435524,-1.340075,22/07/2017, 11:53:07
1,1,human,51.435032,-1.340026,22/07/2017, 11:53:34
1,1,human,51.435188,-1.340803,22/07/2017, 11:54:00
1,1,human,51.434547,-1.340095,22/07/2017, 11:54:27
1,1,human,51.434643,-1.340332,22/07/2017, 11:54:50
1,1,human,51.434402,-1.340015,22/07/2017, 11:55:19
1,1,human,51.43409,-1.339784,22/07/2017, 11:55:47
1,1,human,51.433941,-1.339768,22/07/2017, 11:56:22
1,1,human,51.433727,-1.339525,22/07/2017, 11:56:49
1,1,human,51.433704,-1.339025,22/07/2017, 11:57:18
1,1,human,51.433296,-1.339147,22/07/2017, 11:57:45
1,1,human,51.433281,-1.339547,22/07/2017, 11:58:09
1,1,human,51.43306,-1.339636,22/07/2017, 11:58:32
1,1,human,51.432899,-1.339791,22/07/2017, 11:58:59
1,1,human,51.43261,-1.339938,22/07/2017, 11:59:30
1,1,human,51.432289,-1.3397,22/07/2017, 12:00:07
1,1,human,51.431995,-1.339421,22/07/2017, 12:00:38
1,1,human,51.431664,-1.339533,22/07/2017, 12:01:11
1,1,human,51.431343,-1.33964,22/07/2017, 12:01:38
1,1,human,51.430885,-1.33979,22/07/2017, 12:02:17
1,1,human,51.430607,-1.339354,22/07/2017, 12:03:00
1,1,human,51.430321,-1.338612,22/07/2017, 12:03:45
